📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
115  LE100S1005001                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
116  LE100S1005002                    미니멀러그_딥블랙_사각_2000x3000  LE10000005006   1  2026-04-13  2026-04-13
117  LE100S1005002                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
118  LE100S1005003                    미니멀러그_딥블랙_사각_1500x2000  LE10000005004   1  2026-04-13  2026-04-13
119  LE100S1005003                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
120  LE100S2001001                  미니멀러그_오프화이트_타원_2000x3000  LE10000001013   1  2026-04-13  2026-04-13
121  LE100S2001001                  미니멀러그_오프화이트_타원_1500x2250  LE10000001012   1  2026-04-13  2026-04-13
122  LE100S2001001                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
123  LE100S2001002                  미니멀러그_오프화이트_타원_2000x3000  LE10000001013   1  2026-04-13  2026-04-13
124  LE100S2001002                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
125  LE100S2001003                  미니멀러그_오프화이트_타원_1500x2250  LE10000001012   1  2026-04-13  2026-04-13
126  LE100S2001003                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
127  LE100S2002001                   미니멀러그_브라운_타원__2000x3000  LE10000002013   1  2026-04-13  2026-04-13
128  LE100S2002001                    미니멀러그_브라운_타원_1500x2250  LE10000002012   1  2026-04-13  2026-04-13
129  LE100S2002001                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
130  LE100S2002002                   미니멀러그_브라운_타원__2000x3000  LE10000002013   1  2026-04-13  2026-04-13
131  LE100S2002002                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
132  LE100S2002003                    미니멀러그_브라운_타원_1500x2250  LE10000002012   1  2026-04-13  2026-04-13
133  LE100S2002003                      미니멀러그_브라운_반원_480x800  LE10000002018   1  2026-04-13  2026-04-13
134  LE100S2003001                    미니멀러그_그레이_타원_2000x3000  LE10000003013   1  2026-04-13  2026-04-13
135  LE100S2003001                    미니멀러그_그레이_타원_1500x2250  LE10000003012   1  2026-04-13  2026-04-13
136  LE100S2003001                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
137  LE100S2003002                    미니멀러그_그레이_타원_2000x3000  LE10000003013   1  2026-04-13  2026-04-13
138  LE100S2003002                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
139  LE100S2003003                    미니멀러그_그레이_타원_1500x2250  LE10000003012   1  2026-04-13  2026-04-13
140  LE100S2003003                      미니멀러그_그레이_반원_480x800  LE10000003018   1  2026-04-13  2026-04-13
141  LE100S2004001                     미니멀러그_블루문_타원2000x3000  LE10000004013   1  2026-04-13  2026-04-13
142  LE100S2004001                     미니멀러그_블루문_타원1500x2250  LE10000004012   1  2026-04-13  2026-04-13
143  LE100S2004001                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
144  LE100S2004002                     미니멀러그_블루문_타원2000x3000  LE10000004013   1  2026-04-13  2026-04-13
145  LE100S2004002                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
146  LE100S2004003                     미니멀러그_블루문_타원1500x2250  LE10000004012   1  2026-04-13  2026-04-13
147  LE100S2004003                      미니멀러그_블루문_반원_480x800  LE10000004018   1  2026-04-13  2026-04-13
148  LE100S2005001                   미니멀러그_딥블랙_타원_2000x3000   LE10000005013   1  2026-04-13  2026-04-13
149  LE100S2005001                   미니멀러그_딥블랙_타원_1500x2250   LE10000005012   1  2026-04-13  2026-04-13
150  LE100S2005001                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
151  LE100S2005002                   미니멀러그_딥블랙_타원_2000x3000   LE10000005013   1  2026-04-13  2026-04-13
152  LE100S2005002                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
153  LE100S2005003                   미니멀러그_딥블랙_타원_1500x2250   LE10000005012   1  2026-04-13  2026-04-13
154  LE100S2005003                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
